company_ticker,date,closing_price
AAPL,1992-01-31,2.31
AAPL,1992-02-03,2.35
AAPL,1992-02-04,2.35
AAPL,1992-02-05,2.36
AAPL,1992-02-06,2.29
AAPL,1992-02-07,2.29
AAPL,1992-02-10,2.25
AAPL,1992-02-11,2.25
AAPL,1992-02-12,2.33
AAPL,1992-02-13,2.29
AAPL,1992-02-14,2.29
AAPL,1992-02-18,2.24
AAPL,1992-02-19,2.21
AAPL,1992-02-20,2.31
AAPL,1992-02-21,2.32
AAPL,1992-02-24,2.36
AAPL,1992-02-25,2.45
AAPL,1992-02-26,2.5
AAPL,1992-02-27,2.45
AAPL,1992-02-28,2.41
AAPL,1992-03-02,2.4
AAPL,1992-03-03,2.37
AAPL,1992-03-04,2.32
AAPL,1992-03-05,2.27
AAPL,1992-03-06,2.29
AAPL,1992-03-09,2.28
AAPL,1992-03-10,2.28
AAPL,1992-03-11,2.26
AAPL,1992-03-12,2.24
AAPL,1992-03-13,2.25
AAPL,1992-03-16,2.26
AAPL,1992-03-17,2.25
AAPL,1992-03-18,2.28
AAPL,1992-03-19,2.25
AAPL,1992-03-20,2.26
AAPL,1992-03-23,2.25
AAPL,1992-03-24,2.32
AAPL,1992-03-25,2.3
AAPL,1992-03-26,2.29
AAPL,1992-03-27,2.18
AAPL,1992-03-30,2.08
AAPL,1992-03-31,2.08
AAPL,1992-04-01,2.11
AAPL,1992-04-02,2.1
AAPL,1992-04-03,2.11
AAPL,1992-04-06,2.17
AAPL,1992-04-07,2.04
AAPL,1992-04-08,2.0
AAPL,1992-04-09,2.04
AAPL,1992-04-10,1.98
AAPL,1992-04-13,2.02
AAPL,1992-04-14,2.1
AAPL,1992-04-15,2.16
AAPL,1992-04-16,2.11
AAPL,1992-04-20,2.03
AAPL,1992-04-21,2.01
AAPL,1992-04-22,2.06
AAPL,1992-04-23,2.04
AAPL,1992-04-24,2.02
AAPL,1992-04-27,1.99
AAPL,1992-04-28,1.94
AAPL,1992-04-29,2.04
AAPL,1992-04-30,2.15
AAPL,1992-05-01,2.12
AAPL,1992-05-04,2.16
AAPL,1992-05-05,2.16
AAPL,1992-05-06,2.21
AAPL,1992-05-07,2.17
AAPL,1992-05-08,2.21
AAPL,1992-05-11,2.22
AAPL,1992-05-12,2.22
AAPL,1992-05-13,2.24
AAPL,1992-05-14,2.19
AAPL,1992-05-15,2.17
AAPL,1992-05-18,2.16
AAPL,1992-05-19,2.12
AAPL,1992-05-20,2.14
AAPL,1992-05-21,2.11
AAPL,1992-05-22,2.13
AAPL,1992-05-26,2.12
AAPL,1992-05-27,2.15
AAPL,1992-05-28,2.13
AAPL,1992-05-29,2.13
AAPL,1992-06-01,2.05
AAPL,1992-06-02,2.02
AAPL,1992-06-03,1.93
AAPL,1992-06-04,1.95
AAPL,1992-06-05,1.96
AAPL,1992-06-08,1.94
AAPL,1992-06-09,1.93
AAPL,1992-06-10,1.92
AAPL,1992-06-11,1.92
AAPL,1992-06-12,1.95
AAPL,1992-06-15,1.88
AAPL,1992-06-16,1.76
AAPL,1992-06-17,1.7
AAPL,1992-06-18,1.62
AAPL,1992-06-19,1.6
AAPL,1992-06-22,1.58
AAPL,1992-06-23,1.62
AAPL,1992-06-24,1.64
AAPL,1992-06-25,1.63
AAPL,1992-06-26,1.62
AAPL,1992-06-29,1.67
AAPL,1992-06-30,1.71
AAPL,1992-07-01,1.75
AAPL,1992-07-02,1.65
AAPL,1992-07-06,1.65
AAPL,1992-07-07,1.58
AAPL,1992-07-08,1.63
AAPL,1992-07-09,1.64
AAPL,1992-07-10,1.63
AAPL,1992-07-13,1.68
AAPL,1992-07-14,1.7
AAPL,1992-07-15,1.71
AAPL,1992-07-16,1.74
AAPL,1992-07-17,1.61
AAPL,1992-07-20,1.6
AAPL,1992-07-21,1.63
AAPL,1992-07-22,1.58
AAPL,1992-07-23,1.6
AAPL,1992-07-24,1.64
AAPL,1992-07-27,1.62
AAPL,1992-07-28,1.66
AAPL,1992-07-29,1.69
AAPL,1992-07-30,1.69
AAPL,1992-07-31,1.67
AAPL,1992-08-03,1.63
AAPL,1992-08-04,1.63
AAPL,1992-08-05,1.6
AAPL,1992-08-06,1.57
AAPL,1992-08-07,1.55
AAPL,1992-08-10,1.58
AAPL,1992-08-11,1.55
AAPL,1992-08-12,1.58
AAPL,1992-08-13,1.6
AAPL,1992-08-14,1.6
AAPL,1992-08-17,1.6
AAPL,1992-08-18,1.6
AAPL,1992-08-19,1.59
AAPL,1992-08-20,1.6
AAPL,1992-08-21,1.59
AAPL,1992-08-24,1.54
AAPL,1992-08-25,1.58
AAPL,1992-08-26,1.58
AAPL,1992-08-27,1.59
AAPL,1992-08-28,1.61
AAPL,1992-08-31,1.64
AAPL,1992-09-01,1.66
AAPL,1992-09-02,1.73
AAPL,1992-09-03,1.71
AAPL,1992-09-04,1.69
AAPL,1992-09-08,1.71
AAPL,1992-09-09,1.75
AAPL,1992-09-10,1.76
AAPL,1992-09-11,1.7
AAPL,1992-09-14,1.77
AAPL,1992-09-15,1.72
AAPL,1992-09-16,1.68
AAPL,1992-09-17,1.64
AAPL,1992-09-18,1.66
AAPL,1992-09-21,1.66
AAPL,1992-09-22,1.63
AAPL,1992-09-23,1.7
AAPL,1992-09-24,1.65
AAPL,1992-09-25,1.63
AAPL,1992-09-28,1.6
AAPL,1992-09-29,1.6
AAPL,1992-09-30,1.61
AAPL,1992-10-01,1.58
AAPL,1992-10-02,1.56
AAPL,1992-10-05,1.55
AAPL,1992-10-06,1.6
AAPL,1992-10-07,1.56
AAPL,1992-10-08,1.55
AAPL,1992-10-09,1.55
AAPL,1992-10-12,1.57
AAPL,1992-10-13,1.62
AAPL,1992-10-14,1.64
AAPL,1992-10-15,1.63
AAPL,1992-10-16,1.75
AAPL,1992-10-19,1.75
AAPL,1992-10-20,1.75
AAPL,1992-10-21,1.73
AAPL,1992-10-22,1.74
AAPL,1992-10-23,1.74
AAPL,1992-10-26,1.84
AAPL,1992-10-27,1.84
AAPL,1992-10-28,1.87
AAPL,1992-10-29,1.9
AAPL,1992-10-30,1.88
AAPL,1992-11-02,1.87
AAPL,1992-11-03,1.86
AAPL,1992-11-04,1.88
AAPL,1992-11-05,1.96
AAPL,1992-11-06,1.99
AAPL,1992-11-09,1.97
AAPL,1992-11-10,2.01
AAPL,1992-11-11,2.03
AAPL,1992-11-12,2.03
AAPL,1992-11-13,2.01
AAPL,1992-11-16,2.05
AAPL,1992-11-17,1.97
AAPL,1992-11-18,2.06
AAPL,1992-11-19,2.08
AAPL,1992-11-20,2.05
AAPL,1992-11-23,2.03
AAPL,1992-11-24,2.05
AAPL,1992-11-25,2.02
AAPL,1992-11-27,2.02
AAPL,1992-11-30,2.05
AAPL,1992-12-01,2.08
AAPL,1992-12-02,2.04
AAPL,1992-12-03,2.05
AAPL,1992-12-04,2.03
AAPL,1992-12-07,2.06
AAPL,1992-12-08,2.08
AAPL,1992-12-09,2.06
AAPL,1992-12-10,2.04
AAPL,1992-12-11,2.05
AAPL,1992-12-14,2.04
AAPL,1992-12-15,2.01
AAPL,1992-12-16,1.96
AAPL,1992-12-17,2.03
AAPL,1992-12-18,2.08
AAPL,1992-12-21,2.13
AAPL,1992-12-22,2.17
AAPL,1992-12-23,2.13
AAPL,1992-12-24,2.11
AAPL,1992-12-28,2.13
AAPL,1992-12-29,2.13
AAPL,1992-12-30,2.1
AAPL,1992-12-31,2.13
AAPL,1993-01-04,2.08
AAPL,1993-01-05,2.12
AAPL,1993-01-06,2.21
AAPL,1993-01-07,2.18
AAPL,1993-01-08,2.22
AAPL,1993-01-11,2.29
AAPL,1993-01-12,2.2
AAPL,1993-01-13,2.27
AAPL,1993-01-14,2.32
AAPL,1993-01-15,2.15
AAPL,1993-01-18,2.13
AAPL,1993-01-19,2.13
AAPL,1993-01-20,2.14
AAPL,1993-01-21,2.14
AAPL,1993-01-22,2.13
AAPL,1993-01-25,2.14
AAPL,1993-01-26,2.17
AAPL,1993-01-27,2.15
AAPL,1993-01-28,2.14
AAPL,1993-01-29,2.13
AAPL,1993-02-01,2.19
AAPL,1993-02-02,2.15
AAPL,1993-02-03,2.14
AAPL,1993-02-04,2.13
AAPL,1993-02-05,2.04
AAPL,1993-02-08,2.02
AAPL,1993-02-09,2.03
AAPL,1993-02-10,1.99
AAPL,1993-02-11,1.97
AAPL,1993-02-12,1.92
AAPL,1993-02-16,1.89
AAPL,1993-02-17,1.92
AAPL,1993-02-18,1.96
AAPL,1993-02-19,1.96
AAPL,1993-02-22,1.97
AAPL,1993-02-23,1.94
AAPL,1993-02-24,1.92
AAPL,1993-02-25,1.96
AAPL,1993-02-26,1.89
AAPL,1993-03-01,1.9
